Person_ID,Site_ID,taxonomic_group,detailed_outcome,outcome_units,outcome_notes,sampling_method,processing_method,sample_area,sample_depth,fire_severity,comparison_type,last_burned_control,last_burned_treatment,control_mean,control_var,control_n,treatment_mean,treatment_var,treatment_n,before_control_mean,before_control_var,before_control_n,before_treatment_mean,before_treatment_var,before_treatment_n,var_type,comparison_location,precise_p_value,approximate_p_value,control_mean_conservative,treatment_mean_conservative,control_mean_estimate,Control_var_estimate,treatment_mean_estimate,treatment_var_estimate,ag_severity_reported,ag_severity_units,ag_severity_index,bg_severity_reported,bg_severity_units,bg_severity_index,Control_mean_combined,Control_var_combined,Treatment_mean_combined,Treatment_var_combined
Niamh,Rodrigo_2008_4,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,6935,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,36,Bare soil,%,0,0,,0,
Niamh,Rodrigo_2008_5,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,3,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,3,,,,,Tree cover,%,100,Bare soil,%,217,0,,3,
Niamh,Rodrigo_2008_6,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,2,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,2,0.0000001,,,,,Tree cover,%,100,Bare soil,%,0,2,,0,
Niamh,Rodrigo_2008_7,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,84,Bare soil,%,171,0,,0,
Niamh,Rodrigo_2008_8,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,6935,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,57,Bare soil,%,0,0,,0,
Niamh,Rodrigo_2008_1,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,5,Bare soil,%,95,0,,0,
Niamh,Rodrigo_2008_2,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,6,,15,1,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,6,1,,,,,Tree cover,%,10,Bare soil,%,61,6,,1,
Niamh,Rodrigo_2008_3,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,23,Bare soil,%,0,0,,0,
Niamh,Rodrigo_2008_4,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,6935,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,36,Bare soil,%,0,0,,0,
Niamh,Rodrigo_2008_5,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,100,Bare soil,%,217,0,,0,
Niamh,Rodrigo_2008_6,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,6,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,6,0.0000001,,,,,Tree cover,%,100,Bare soil,%,0,6,,0,
Niamh,Rodrigo_2008_7,Scarabaeoidea,density of individuals,Number of individuals,Nicrophorus,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,84,Bare soil,%,171,0,,0,
